FID,LOC_ID,SITECODE,UTM_E,UTM_N,LATITUDE,LONGITUDE,ALT_SITECODE,PI,LOC_TYPE,GPS_ELEV,DATE_COLLECTED,PROJECT_DESCRIPTION,,,,,,,,
399,400,MM5G,448743.942,4433985.973,40.0545611,-105.6009481,MM5G,Tara Forbis,observational plot,3606.753,,,,,,,,,,
400,401,MM5C,448750.248,4433981.954,40.0545252,-105.6008738,MM5C,Tara Forbis,observational plot,3605.721,,,,,,,,,,
401,402,DM3G,448590.541,4433993.521,40.0546197,-105.6027471,DM3G,Tara Forbis,observational plot,3621.864,,,,,,,,,,
402,403,DM3C,448588.621,4433994.319,40.0546268,-105.6027697,DM3C,Tara Forbis,observational plot,3622.134,,,,,,,,,,
403,404,WM1,448597.254,4434068.806,40.0552984,-105.6026744,WM1,Tara Forbis,observational plot,3621.265,,,,,,,,,,
404,405,DM4C,448498.319,4434040.824,40.0550403,-105.6038321,DM4C,Tara Forbis,observational plot,3630.716,,,,,,,,,,
405,406,DM4G,448500.092,4434040.028,40.0550332,-105.6038112,DM4G,Tara Forbis,observational plot,3630.528,,,,,,,,,,
406,407,DM5G,448493.508,4434041.764,40.0550484,-105.6038885,DM5G,Tara Forbis,observational plot,3631.743,,,,,,,,,,
407,408,DM5C,448491.223,4434041.032,40.0550417,-105.6039153,DM5C,Tara Forbis,observational plot,3632.07,,,,,,,,,,
408,409,DM1C,447956.762,4434460.661,40.0587894,-105.6102149,DM1C,Tara Forbis,observational plot,3686.618,,,,,,,,,,
409,410,DM1G,447952.45,4434460.626,40.0587888,-105.6102655,DM1G,Tara Forbis,observational plot,3687.23,,,,,,,,,,
410,411,FF3,449077.312,4434208.063,40.0565821,-105.5970571,FF3,Tara Forbis,observational plot,3613.139,,,,,,,,,,
411,412,MM6G,449484.196,4434068.242,40.0553469,-105.5922759,MM6G,Tara Forbis,observational plot,3546.973,,,,,,,,,,
412,413,MM6C,449486.602,4434079.7,40.0554503,-105.5922485,MM6C,Tara Forbis,observational plot,3547.443,,,,,,,,,,
413,414,C1,449865.669,4434013.018,40.0548722,-105.5877992,C1,William Osburn,manipulative plot,3543.284,,disturbance plots,,legacy,,,,,,
414,415,D2,449862.932,4434010.922,40.0548531,-105.5878311,D2,William Osburn,manipulative plot,3543.05,,disturbance plots,,legacy,,,,,,
415,416,C3,449861.127,4434009.827,40.0548432,-105.5878522,C3,William Osburn,manipulative plot,3542.683,,disturbance plots,,legacy,,,,,,
416,417,D3,449860.295,4434012.521,40.0548674,-105.5878622,D3,William Osburn,manipulative plot,3543.008,,disturbance plots,,legacy,,,,,,
417,418,C2,449861.584,4434014.388,40.0548843,-105.5878472,C2,William Osburn,manipulative plot,3542.963,,disturbance plots,,legacy,,,,,,
418,419,D1,449863.929,4434016.13,40.0549001,-105.5878198,D1,William Osburn,manipulative plot,3543.046,,disturbance plots,,legacy,,,,,,
419,420,FF2,449959.757,4434038.431,40.0551067,-105.5866981,FF2,Tara Forbis,observational plot,3547.367,,,,,,,,,,
420,421,FF1,450028.589,4434150.388,40.0561195,-105.5858997,FF1,Tara Forbis,observational plot,3553.32,,,,,,,,,,
421,422,WM3,449692.072,4434213.781,40.0566706,-105.58985,WM3,Tara Forbis,observational plot,3526.967,,,,,,,,,,
422,423,WM2,449689.666,4434203.862,40.0565811,-105.5898775,WM2,Tara Forbis,observational plot,3526.858,,,,,,,,,,
423,424,SB1,449678.464,4434251.678,40.0570112,-105.5900125,SB1,Tara Forbis,observational plot,3523.657,,,,,,,,,,
424,425,SB2,449694.507,4434289.832,40.0573559,-105.5898274,SB2,Tara Forbis,observational plot,3519.845,,,,,,,,,,
425,426,SB3,449690.832,4434316.275,40.0575939,-105.5898725,SB3,Tara Forbis,observational plot,3516.394,,,,,,,,,,
426,427,TLAB,449775.926,4433933.855,40.0541536,-105.5888452,Tundra Lab,Bill Bowman,observational point,3521.736,,,,,,,,,,
427,428,TLAB,449773.797,4433926.597,40.0540881,-105.5888696,Tundra Lab,Bill Bowman,observational point,3523.047,,,,,,,,,,
428,429,TLAB,449756.692,4433933.099,40.0541457,-105.5890706,Tundra Lab,Bill Bowman,observational point,3523.537,,,,,,,,,,
429,430,TLAB,449759.181,4433940.231,40.0542101,-105.589042,Tundra Lab,Bill Bowman,observational point,3523.759,,,,,,,,,,
430,431,SADVAN,449764.967,4433947.83,40.0542789,-105.5889748,Saddle Van,Bill Bowman,observational point,3524.672,,,,,,,,,,
431,432,WTURBINE,449751.55,4433929.734,40.0541151,-105.5891307,Wind Turbine,Bill Bowman,observational point,3522.41,,,,,,,,,,
432,433,MM1C,449714.138,4433925.061,40.0540707,-105.5895689,MM1C,Tara Forbis,observational plot,3519.595,,,,,,,,,,
433,434,MM2C,449713.368,4433923.624,40.0540577,-105.5895778,MM2C,Tara Forbis,observational plot,3519.434,,,,,,,,,,
434,435,MM2G,449714.113,4433933.612,40.0541478,-105.5895699,MM2G,Tara Forbis,observational plot,3520.539,,,,,,,,,,
435,436,MM1G,449714.286,4433935.03,40.0541606,-105.5895679,MM1G,Tara Forbis,observational plot,3521,,,,legacy,,,,,,
436,437,MM4G,449704.772,4433927.686,40.0540938,-105.5896789,MM4G,Tara Forbis,observational plot,3520.325,,,,legacy,,,,,,
437,438,MM4C,449702.317,4433927.055,40.054088,-105.5897076,MM4C,Tara Forbis,observational plot,3520.357,,,,legacy,,,,,,
438,439,C4RU,449720.954,4433763.461,40.0526153,-105.5894764,C4RU,Terry Theodose,manipulative plot,3494.395,,"N, P, N+P manipulations",,,,,,,,
439,440,C4IU,449722.579,4433762.584,40.0526074,-105.5894573,C4IU,Terry Theodose,manipulative plot,3494.27,,"N, P, N+P manipulations",,,,,,,,
440,441,C4IF,449721.044,4433760.464,40.0525883,-105.5894752,C4IF,Terry Theodose,manipulative plot,3493.45,,"N, P, N+P manipulations",,,,,,,,
441,442,C4RF,449719.283,4433761.025,40.0525932,-105.5894958,C4RF,Terry Theodose,manipulative plot,3493.651,,"N, P, N+P manipulations",,,,,,,,
442,443,C3IU,449735.857,4433756.71,40.0525553,-105.5893012,C3IU,Terry Theodose,manipulative plot,3494.17,,"N, P, N+P manipulations",,,,,,,,
443,444,C3IF,449733.757,4433755.046,40.0525402,-105.5893257,C3IF,Terry Theodose,manipulative plot,3493.43,,"N, P, N+P manipulations",,,,,,,,
444,445,C3RF,449731.965,4433756.398,40.0525523,-105.5893468,C3RF,Terry Theodose,manipulative plot,3493.714,,"N, P, N+P manipulations",,,,,,,,
445,446,C3RU,449733.411,4433757.72,40.0525643,-105.58933,C3RU,Terry Theodose,manipulative plot,3494.087,,"N, P, N+P manipulations",,,,,,,,
446,447,C2RF,449744.501,4433757.548,40.0525634,-105.5891999,C2RF,Terry Theodose,manipulative plot,3493.684,,"N, P, N+P manipulations",,,,,,,,
447,448,C2IU,449747.132,4433757.439,40.0525626,-105.5891691,C2IU,Terry Theodose,manipulative plot,3493.501,,"N, P, N+P manipulations",,,,,,,,
448,449,C2RU,449745.314,4433754.79,40.0525386,-105.5891902,C2RU,Terry Theodose,manipulative point,3492.966,,"N, P, N+P manipulations",,legacy,,,,,,
449,450,C2IF,449742.047,4433754.846,40.0525389,-105.5892285,C2IF,Terry Theodose,manipulative plot,3492.376,,"N, P, N+P manipulations",,legacy,,,,,,
450,451,C1IU,449753.655,4433766.781,40.0526471,-105.5890933,C1IU,Terry Theodose,manipulative plot,3495.91,,"N, P, N+P manipulations",,,,,,,,
451,452,C1RU,449753.377,4433764.858,40.0526298,-105.5890964,C1RU,Terry Theodose,manipulative point,3495.477,,"N, P, N+P manipulations",,,,,,,,
452,453,C1RF,449753.315,4433763.737,40.0526197,-105.5890971,C1RF,Terry Theodose,manipulative plot,3495.401,,"N, P, N+P manipulations",,,,,,,,
453,454,C1IF,449755.443,4433763.86,40.0526209,-105.5890721,C1IF,Terry Theodose,manipulative plot,3495.431,,"N, P, N+P manipulations",,,,,,,,
454,455,DNP3,449778.545,4433697.222,40.0520219,-105.5887961,DNP3,Bill Bowman,manipulative plot,3487.864,,Nitrogen and Phosphorus addition experiment,,,,,,,,
455,456,DNN3,449781.502,4433696.456,40.0520152,-105.5887614,DNN3,Bill Bowman,manipulative plot,3487.964,,Nitrogen and Phosphorus addition experiment,,,,,,,,
456,457,DNN2,449785.401,4433697.77,40.0520273,-105.5887158,DNN2,Bill Bowman,manipulative plot,3488.193,,Nitrogen and Phosphorus addition experiment,,,,,,,,
457,458,DCC2,449787.929,4433697.077,40.0520212,-105.5886861,DCC2,Bill Bowman,manipulative plot,3488.043,,Nitrogen and Phosphorus addition experiment,,,,,,,,
458,459,DPP2,449790.551,4433696.191,40.0520133,-105.5886553,DPP2,Bill Bowman,manipulative plot,3487.829,,Nitrogen and Phosphorus addition experiment,,,,,,,,
459,460,DNP2,449793.708,4433695.057,40.0520033,-105.5886182,DNP2,Bill Bowman,manipulative plot,3487.446,,Nitrogen and Phosphorus addition experiment,,,,,,,,
460,461,DNN1,449793.9,4433699.067,40.0520395,-105.5886163,DNN1,Bill Bowman,manipulative plot,3487.722,,Nitrogen and Phosphorus addition experiment,,,,,,,,
461,462,DPP1,449796.239,4433702.088,40.0520668,-105.5885891,DPP1,Bill Bowman,manipulative plot,3487.718,,Nitrogen and Phosphorus addition experiment,,,,,,,,
462,463,DCC1,449796.618,4433705.405,40.0520967,-105.5885849,DCC1,Bill Bowman,manipulative plot,3488.425,,Nitrogen and Phosphorus addition experiment,,,,,,,,
463,464,DNP1,449793.764,4433705.166,40.0520944,-105.5886183,DNP1,Bill Bowman,manipulative plot,3488.406,,Nitrogen and Phosphorus addition experiment,,,,,,,,
464,465,DCC3,449782.663,4433677.135,40.0518412,-105.5887463,DCC3,Bill Bowman,manipulative plot,3485.603,,Nitrogen and Phosphorus addition experiment,,,,,,,,
465,466,DPP3,449780.065,4433678.441,40.0518528,-105.5887769,DPP3,Bill Bowman,manipulative plot,3485.374,,Nitrogen and Phosphorus addition experiment,,,,,,,,
466,467,DNP4,449774.543,4433680.61,40.051872,-105.5888418,DNP4,Bill Bowman,manipulative plot,3484.735,,Nitrogen and Phosphorus addition experiment,,,,,,,,
467,468,DPP4,449771.498,4433682.153,40.0518857,-105.5888776,DPP4,Bill Bowman,manipulative plot,3484.673,,Nitrogen and Phosphorus addition experiment,,,,,,,,
468,469,DCC5,449768.207,4433682.787,40.0518913,-105.5889162,DCC5,Bill Bowman,manipulative plot,3484.336,,Nitrogen and Phosphorus addition experiment,,,,,,,,
469,470,DNN4,449765.239,4433682.675,40.0518901,-105.588951,DNN4,Bill Bowman,manipulative plot,3484.284,,Nitrogen and Phosphorus addition experiment,,,,,,,,
470,471,DCC4,449776.76,4433679.436,40.0518616,-105.5888157,DCC4,Bill Bowman,manipulative plot,3484.528,,Nitrogen and Phosphorus addition experiment,,,,,,,,
471,472,DPP5,449777.939,4433675.239,40.0518238,-105.5888015,DPP5,Bill Bowman,manipulative plot,3484.603,,Nitrogen and Phosphorus addition experiment,,,,,,,,
472,473,DNP5,449776.507,4433672.171,40.0517961,-105.5888181,DNP5,Bill Bowman,manipulative plot,3484.299,,Nitrogen and Phosphorus addition experiment,,,,,,,,
473,474,DNN5,449779.722,4433671.921,40.051794,-105.5887804,DNN5,Bill Bowman,manipulative plot,3484.634,,Nitrogen and Phosphorus addition experiment,,,,,,,,
474,475,DM6C,449734.795,4433688.306,40.051939,-105.5893084,DM6C,Tara Forbis,observational plot,3484.921,,,,,,,,,,
475,476,DM6G,449727.896,4433681.476,40.051877,-105.5893887,DM6G,Tara Forbis,observational plot,3484.07,,,,,,,,,,
476,477,WCC1,449631.348,4433682.804,40.0518832,-105.5905207,WCC1,Bill Bowman,manipulative plot,3475.976,,Nitrogen and Phosphorus addition experiment,,,,,,,,
477,478,WNN1,449628.61,4433685.002,40.0519029,-105.5905529,WNN1,Bill Bowman,manipulative plot,3476.095,,Nitrogen and Phosphorus addition experiment,,,,,,,,
478,479,WNP1,449628.417,4433680.25,40.0518601,-105.5905548,WNP1,Bill Bowman,manipulative plot,3475.689,,Nitrogen and Phosphorus addition experiment,,,,,,,,
479,480,WNP2,449625.143,4433682.144,40.0518769,-105.5905934,WNP2,Bill Bowman,manipulative plot,3475.478,,Nitrogen and Phosphorus addition experiment,,,,,,,,
480,481,WPP1,449622.586,4433683.611,40.05189,-105.5906235,WPP1,Bill Bowman,manipulative plot,3475.186,,Nitrogen and Phosphorus addition experiment,,,,,,,,
481,482,WCC2,449618.645,4433684.903,40.0519014,-105.5906698,WCC2,Bill Bowman,manipulative plot,3475.754,,Nitrogen and Phosphorus addition experiment,,,,,,,,
482,483,WPP2,449615.886,4433685.191,40.0519038,-105.5907021,WPP2,Bill Bowman,manipulative plot,3475.541,,Nitrogen and Phosphorus addition experiment,,,,,,,,
483,484,WCC2,449613.056,4433687.092,40.0519208,-105.5907355,WCC2,Bill Bowman,manipulative plot,3475.866,,Nitrogen and Phosphorus addition experiment,,,,,,,,
484,485,WPP3,449609.757,4433689.666,40.0519438,-105.5907743,WPP3,Bill Bowman,manipulative plot,3475.697,,Nitrogen and Phosphorus addition experiment,,,,,,,,
485,486,WCC4,449607.952,4433691.619,40.0519613,-105.5907956,WCC4,Bill Bowman,manipulative plot,3475.698,,Nitrogen and Phosphorus addition experiment,,,,,,,,
486,487,WPP4,449606.578,4433693.75,40.0519804,-105.5908119,WPP4,Bill Bowman,manipulative plot,3475.355,,Nitrogen and Phosphorus addition experiment,,,,,,,,
487,488,WCC5,449605.114,4433696.149,40.0520019,-105.5908293,WCC5,Bill Bowman,manipulative plot,3475.233,,Nitrogen and Phosphorus addition experiment,,,,,,,,
488,489,WNN2,449600.874,4433693.224,40.0519753,-105.5908787,WNN2,Bill Bowman,manipulative plot,3474.836,,Nitrogen and Phosphorus addition experiment,,,,,,,,
489,490,WNN3,449604.547,4433692.288,40.0519671,-105.5908356,WNN3,Bill Bowman,manipulative plot,3475.276,,Nitrogen and Phosphorus addition experiment,,,,,,,,
490,491,WNP5,449606.128,4433690.056,40.0519471,-105.5908169,WNP5,Bill Bowman,manipulative plot,3474.958,,Nitrogen and Phosphorus addition experiment,,,,,,,,
491,492,WNP4,449607.872,4433686.71,40.051917,-105.5907962,WNP4,Bill Bowman,manipulative plot,3474.964,,Nitrogen and Phosphorus addition experiment,,,,,,,,
492,493,WNN4,449611.626,4433684.602,40.0518983,-105.590752,WNN4,Bill Bowman,manipulative plot,3475.02,,Nitrogen and Phosphorus addition experiment,,,,,,,,
493,494,WNP3,449616.031,4433682.494,40.0518795,-105.5907002,WNP3,Bill Bowman,manipulative plot,3475.083,,Nitrogen and Phosphorus addition experiment,,,,,,,,
494,495,WNN5,449617.319,4433677.313,40.0518329,-105.5906847,WNN5,Bill Bowman,manipulative plot,3474.554,,Nitrogen and Phosphorus addition experiment,,,,,,,,
495,496,WPP5,449618.821,4433671.933,40.0517846,-105.5906667,WPP5,Bill Bowman,manipulative plot,3474.096,,Nitrogen and Phosphorus addition experiment,,,,,,,,
496,497,C1,453630.072,4431912.889,40.0361669,-105.5435152,C1,Other,observational point,3021.256,,,,,,,,,,
497,498,AMERIFLUX-TOWER,453334.124,4431548.145,40.0328645,-105.5469577,Ameriflux tower,Sean Burns,observational point,3050.303,,"NR1 Ameriflux tower. For more information, see here: https://ameriflux.lbl.gov/sites/siteinfo/US-NR1",,,,,,,,
498,499,DC1,449828.813,4434076.99,40.0554463,-105.5882362,DC1,Bill Bowman,manipulative point,3535.853,,Nitrogen and Water addition experiment,,,,,,,,
499,500,DN1,449828.906,4434079.068,40.0554651,-105.5882353,DN1,Bill Bowman,manipulative point,3535.91,,Nitrogen and Water addition experiment,,,,,,,,
500,501,DW1,449829.337,4434080.583,40.0554787,-105.5882304,DW1,Bill Bowman,manipulative point,3535.724,,Nitrogen and Water addition experiment,,,,,,,,
501,502,DC2,449826.728,4434083.851,40.055508,-105.5882612,DC2,Bill Bowman,manipulative point,3534.908,,Nitrogen and Water addition experiment,,,,,,,,
502,503,DW2,449827.605,4434084.979,40.0555182,-105.588251,DW2,Bill Bowman,manipulative point,3537.068,,Nitrogen and Water addition experiment,,,,,,,,
503,504,DN2,449827.659,4434086.484,40.0555318,-105.5882505,DN2,Bill Bowman,manipulative point,3537.403,,Nitrogen and Water addition experiment,,,,,,,,
504,505,DC5,449824.085,4434091.08,40.055573,-105.5882928,DC5,Bill Bowman,manipulative point,3536.295,,Nitrogen and Water addition experiment,,,,,,,,
505,506,DW5,449824.228,4434093.14,40.0555916,-105.5882913,DW5,Bill Bowman,manipulative point,3536.482,,Nitrogen and Water addition experiment,,,,,,,,
506,507,DN5,449823.981,4434094.685,40.0556055,-105.5882943,DN5,Bill Bowman,manipulative point,3536.884,,Nitrogen and Water addition experiment,,,,,,,,
507,508,DC4,449821.826,4434083.46,40.0555042,-105.5883187,DC4,Bill Bowman,manipulative point,3537.556,,Nitrogen and Water addition experiment,,,,,,,,
508,509,DW4,449820.702,4434082.251,40.0554933,-105.5883317,DW4,Bill Bowman,manipulative point,3536.636,,Nitrogen and Water addition experiment,,,,,,,,
509,510,DN4,449820.591,4434084.255,40.0555113,-105.5883332,DN4,Bill Bowman,manipulative point,3536.205,,Nitrogen and Water addition experiment,,,,,,,,
510,511,DN3,449821.362,4434079.76,40.0554708,-105.5883238,DN3,Bill Bowman,manipulative point,3536.892,,Nitrogen and Water addition experiment,,,,,,,,
511,512,DC3,449822.198,4434077.443,40.05545,-105.5883138,DC3,Bill Bowman,manipulative point,3536.625,,Nitrogen and Water addition experiment,,,,,,,,
512,513,DW3,449820.31,4434077.667,40.0554519,-105.588336,DW3,Bill Bowman,manipulative point,3534.49,,Nitrogen and Water addition experiment,,,,,,,,
513,514,EMAY16,449608.816,4434171.088,40.056281,-105.5908228,Ebert-May Plot 16,Diane Ebert-May,observational plot,3535.128,,vegetation cover plots,,,,,,,,
514,515,EMAY16,449611.157,4434180.576,40.0563666,-105.5907961,Ebert-May Plot 16,Diane Ebert-May,observational plot,3534.894,,vegetation cover plots,,,,,,,,
515,516,LIDET2,449639.941,4434124.113,40.0558596,-105.5904542,LIDET2,Marilyn Walker,observational point,3533.068,,,,,,,,,,
516,517,EMAY14,449684.957,4434142.293,40.0560261,-105.5899279,Ebert-May Plot 14,Diane Ebert-May,observational plot,3529.751,,vegetation cover plots,,,,,,,,
517,518,EMAY14,449693.342,4434148.386,40.0560815,-105.5898301,Ebert-May Plot 14,Diane Ebert-May,observational plot,3529.636,,vegetation cover plots,,,,,,,,
518,519,EMAY13,449702.164,4434134.223,40.0559544,-105.5897255,Ebert-May Plot 13,Diane Ebert-May,observational plot,3529.159,,vegetation cover plots,,,,,,,,
519,520,EMAY13,449707.649,4434142.7,40.0560311,-105.5896619,Ebert-May Plot 13,Diane Ebert-May,observational plot,3528.765,,vegetation cover plots,,,,,,,,
520,521,EMAY19,449622.219,4434219.895,40.0567215,-105.5906695,Ebert-May Plot 19,Diane Ebert-May,observational plot,3532.875,,vegetation cover plots,,,,,,,,
521,522,EMAY19,449624.687,4434229.549,40.0568086,-105.5906413,Ebert-May Plot 19,Diane Ebert-May,observational plot,3532.679,,vegetation cover plots,,,,,,,,
522,523,EMAY17,449561.991,4434240.227,40.0569011,-105.5913772,Ebert-May Plot 17,Diane Ebert-May,observational plot,3540.644,,vegetation cover plots,,,,,,,,
523,524,EMAY17,449564.162,4434249.837,40.0569878,-105.5913525,Ebert-May Plot 17,Diane Ebert-May,observational plot,3540.776,,vegetation cover plots,,,,,,,,
524,525,EMAY18,449535.135,4434259.351,40.0570717,-105.5916935,Ebert-May Plot 18,Diane Ebert-May,observational plot,3545.491,,vegetation cover plots,,,,,,,,
525,526,EMAY18,449538.471,4434268.691,40.0571561,-105.5916552,Ebert-May Plot 18,Diane Ebert-May,observational plot,3544.458,,vegetation cover plots,,,,,,,,
526,527,EMAY20,449702.586,4434300.654,40.0574539,-105.5897335,Ebert-May Plot 20,Diane Ebert-May,observational plot,3516.811,,vegetation cover plots,,,,,,,,
527,528,EMAY20,449693.079,4434302.387,40.0574689,-105.5898451,Ebert-May Plot 20,Diane Ebert-May,observational plot,3517.329,,vegetation cover plots,,,,,,,,
528,529,EMR2,449799.891,4434217.649,40.0567118,-105.5885862,EMR2,John Emerick,observational plot,3523.36,,snowfence manipulation,,,,,,,,
529,530,EMR2,449800.32,4434208.344,40.056628,-105.5885805,EMR2,John Emerick,observational plot,3524.068,,snowfence manipulation,,,,,,,,
530,531,EMAY29,449773.758,4434106.188,40.0557061,-105.588884,Ebert-May Plot 29,Diane Ebert-May,observational plot,3531.109,,vegetation cover plots,,,,,,,,
531,532,EMAY29,449780.524,4434098.642,40.0556385,-105.5888041,Ebert-May Plot 29,Diane Ebert-May,observational plot,3531.584,,vegetation cover plots,,,,,,,,
532,533,EMAY12,449768.607,4434041.377,40.0551219,-105.5889393,Ebert-May Plot 12,Diane Ebert-May,observational plot,3531.889,,vegetation cover plots,,,,,,,,
533,534,EMAY12,449769.512,4434031.712,40.0550349,-105.588928,Ebert-May Plot 12,Diane Ebert-May,observational plot,3531.645,,vegetation cover plots,,,,,,,,
534,535,EMAY11,449721.878,4434027.566,40.0549947,-105.5894861,Ebert-May Plot 11,Diane Ebert-May,observational plot,3529.814,,vegetation cover plots,,,,,,,,
535,536,EMAY11,449713.455,4434022.329,40.054947,-105.5895845,Ebert-May Plot 11,Diane Ebert-May,observational plot,3529.584,,vegetation cover plots,,,,,,,,
536,537,EMAY15,449670.136,4434028.713,40.0550019,-105.5900928,Ebert-May Plot 15,Diane Ebert-May,observational plot,3529.08,,vegetation cover plots,,,,,,,,
537,538,EMAY15,449661.125,4434025.304,40.0549707,-105.5901982,Ebert-May Plot 15,Diane Ebert-May,observational plot,3528.799,,vegetation cover plots,,,,,,,,
538,539,EMAY09,449637.149,4434022.949,40.054948,-105.5904791,Ebert-May Plot 09,Diane Ebert-May,observational plot,3529.837,,vegetation cover plots,,,,,,,,
539,540,EMAY09,449627.903,4434020.094,40.0549218,-105.5905873,Ebert-May Plot 09,Diane Ebert-May,observational plot,3530.158,,vegetation cover plots,,,,,,,,
540,541,EMAY07,449609.3,4433954.669,40.0543312,-105.5908003,Ebert-May Plot 07,Diane Ebert-May,observational plot,3525.212,,vegetation cover plots,,,,,,,,
541,542,EMAY07,449618.936,4433955.623,40.0543404,-105.5906874,Ebert-May Plot 07,Diane Ebert-May,observational plot,3524.976,,vegetation cover plots,,,,,,,,
542,543,EMAY06,449620.58,4433947.523,40.0542675,-105.5906675,Ebert-May Plot 06,Diane Ebert-May,observational plot,3524.419,,vegetation cover plots,,,,,,,,
543,544,EMAY06,449630.239,4433950.85,40.0542981,-105.5905545,Ebert-May Plot 06,Diane Ebert-May,observational plot,3524.923,,vegetation cover plots,,,,,,,,
544,545,EMAY08,449629.601,4433974.726,40.0545131,-105.5905639,Ebert-May Plot 08,Diane Ebert-May,observational plot,3526.043,,vegetation cover plots,,,,,,,,
545,546,EMAY08,449620.9,4433970.685,40.0544762,-105.5906655,Ebert-May Plot 08,Diane Ebert-May,observational plot,3526.107,,vegetation cover plots,,,,,,,,
546,547,EMAY01,449805.848,4433959.369,40.0543853,-105.5884964,Ebert-May Plot 01,Diane Ebert-May,observational plot,3529.956,,vegetation cover plots,,,,,,,,
547,548,EMAY01,449798.915,4433966.016,40.0544448,-105.5885782,Ebert-May Plot 01,Diane Ebert-May,observational plot,3529.661,,vegetation cover plots,,,,,,,,
548,549,EMAY22,449848.473,4433925.473,40.0540825,-105.587994,Ebert-May Plot 22,Diane Ebert-May,observational plot,3530.705,,vegetation cover plots,,,,,,,,
549,550,EMAY22,449839.393,4433922.974,40.0540594,-105.5881003,Ebert-May Plot 22,Diane Ebert-May,observational plot,3529.396,,vegetation cover plots,,,,,,,,
550,551,EMAY25,449733.891,4434180.428,40.0563726,-105.5893571,Ebert-May Plot 25,Diane Ebert-May,observational plot,3527.189,,vegetation cover plots,,,,,,,,
551,552,EMAY25,449732.516,4434190.179,40.0564603,-105.589374,Ebert-May Plot 25,Diane Ebert-May,observational plot,3526.658,,vegetation cover plots,,,,,,,,
552,553,PTQUAD18,449726.85,4434046.79,,,Saddle Pt Quad 18,Marilyn Walker,observational plot,3538.52,,Point quadrat measurements at the saddle are made yearly,,,,,,,,
553,554,SNEBRASKA,449900.193,4433883.173,40.0537044,-105.5873844,SNEBRASKA,Other,observational plot,3523.292,,,,,,,,,,
554,555,EMAY21,449947.016,4434032.659,40.055054,-105.586847,Ebert-May Plot 21,Diane Ebert-May,observational plot,3546.759,,vegetation cover plots,,,,,,,,
555,556,TNEBRASKA,449933.461,4434032.662,40.0550532,-105.5870059,TNEBRASKA,Other,observational point,3547.613,,,,,,,,,,
556,557,BRAIN,450171.302,4434257.742,40.0570951,-105.5842348,BRAIN,Steve Schmidt,manipulative plot,3544.751,,N manipulation plots,,,,,,,,
557,558,T2D,449937.453,4434228.145,40.0568146,-105.5869742,T2D,Steve Schmidt,manipulative plot,3532.962,,N manipulation plots,,,,,,,,
558,559,EMAY28,449884.483,4434122.604,40.0558606,-105.5875871,Ebert-May Plot 28,Diane Ebert-May,observational plot,3538.066,,vegetation cover plots,,,,,,,,
559,560,EMAY27,449873.255,4434105.872,40.0557092,-105.5877174,Ebert-May Plot 27,Diane Ebert-May,observational plot,3538.507,,vegetation cover plots,,,,,,,,
560,561,T2D,449930.336,4434221.634,40.0567555,-105.5870572,T2D,Tim Seastedt,observational point,3532.712,,,,,,,,,,
561,562,T3M,449776.491,4434376.27,40.0581395,-105.5888729,T3M,Steve Schmidt,manipulative point,3506.797,,N manipulation plots,,,,,,,,
562,563,T3M,449773.562,4434373.426,40.0581137,-105.588907,T3M,Tim Seastedt,observational plot,3507.837,,,,,,,,,,
563,564,T3W,449762.481,4434367.565,40.0580602,-105.5890365,T3W,Steve Schmidt,manipulative plot,3507.599,,N manipulation plots,,,,,,,,
564,565,T3M,449762.314,4434364.786,40.0580352,-105.5890382,T3M,Tim Seastedt,observational point,3507.657,,N manipulation plots,,,,,,,,
565,566,EMAY32,449801.294,4434208.204,40.0566268,-105.588569,Ebert-May Plot 32,Diane Ebert-May,observational plot,3525.485,,vegetation cover plots,,,,,,,,
566,567,EMAY26,449751.44,4434171.171,40.0562902,-105.5891507,Ebert-May Plot 26,Diane Ebert-May,observational plot,3527.885,,vegetation cover plots,,,,,,,,
567,568,280,449749.051,4434170.931,40.0562879,-105.5891787,280,Tim Seastedt,manipulative plot,3527.582,,"Snowfence, N, P, N+P manipulations",,,,,,,,
568,569,279,449749.772,4434173.628,40.0563123,-105.5891704,279,Tim Seastedt,manipulative plot,3527.897,,"Snowfence, N, P, N+P manipulations",,,,,,,,
569,570,266,449751.173,4434176.497,40.0563382,-105.5891542,266,Tim Seastedt,manipulative plot,3527.868,,"Snowfence, N, P, N+P manipulations",,,,,,,,
570,571,267,449746.043,4434177.9,40.0563505,-105.5892145,267,Tim Seastedt,manipulative plot,3527.743,,"Snowfence, N, P, N+P manipulations",,,,,,,,
571,572,870,449745.688,4434184.138,40.0564067,-105.5892191,870,Tim Seastedt,manipulative plot,3526.973,,"Snowfence, N, P, N+P manipulations",,,,,,,,
572,573,404,449746.255,4434173.455,40.0563105,-105.5892116,404,Tim Seastedt,manipulative plot,3527.168,,"Snowfence, N, P, N+P manipulations",,,,,,,,
573,574,295,449746.542,4434169.327,40.0562733,-105.589208,295,Tim Seastedt,manipulative plot,3527.722,,"Snowfence, N, P, N+P manipulations",,,,,,,,
574,575,298,449740.155,4434173.948,40.0563146,-105.5892832,298,Tim Seastedt,manipulative plot,3527.834,,"Snowfence, N, P, N+P manipulations",,,,,,,,
