,SITE,SPP,GRSTRAT,WOODY,GFNARROWarft,GFNARROWwalker,GENUS,SPECIES,SpeciesGenus,RAUNKIAERS,SORENSENS,GEODISTR
1313,TOOLIK,HYPBAM,NA,,MOSS,MPLEU,Hypnum,bambergeri,Hypnum bambergeri,NA,,NA
1314,TOOLIK,HYPCUP,NA,,MOSS,MPLEU,Hypnum,cupressiforme,Hypnum cupressiforme,NA,,NA
1315,TOOLIK,HYPHAM,NA,,MOSS,MPLEU,Hypnum,hamulosum,Hypnum hamulosum,NA,,NA
1316,TOOLIK,HYPLIN,NA,,MOSS,MPLEU,Hypnum,lindbergii,Hypnum lindbergii,NA,,NA
1317,TOOLIK,HYPORO,NA,,LICHEN,LFOLI,Hypogymnia,oroarctica,Hypogymnia oroarctica,NA,,NA
1318,TOOLIK,HYPPHY,NA,,LICHEN,LFOLI,Hypogymnia,physodes,Hypogymnia physodes,NA,,NA
1319,TOOLIK,HYPPRA,NA,,MOSS,MPLEU,Hypnum,pratense,Hypnum pratense,NA,,NA
1320,TOOLIK,HYPPRO,NA,,MOSS,MPLEU,Hypnum,procerrimum,Hypnum procerrimum,NA,,NA
1321,TOOLIK,HYPREV,NA,,MOSS,MPLEU,Hypnum,revolutum,Hypnum revolutum,NA,,NA
1322,TOOLIK,HYPSUB,NA,,LICHEN,LFOLI,Hypogymnia,subobscura,Hypogymnia subobscura,NA,,NA
1323,TOOLIK,ICMERI,NA,,LICHEN,LCRUS,Icmadophila,ericetorum,Icmadophila ericetorum,NA,,NA
1324,TOOLIK,JUNARC,NA,HERB,GRAMINOID,RUSH,Juncus,arcticus,Juncus arcticus,NA,,NA
1325,TOOLIK,JUNBIG,NA,HERB,GRAMINOID,RUSH,Juncus,biglumis,Juncus biglumis,NA,,NA
1326,TOOLIK,JUNCAS,NA,HERB,GRAMINOID,RUSH,Juncus,castaneus,Juncus castaneus,NA,,NA
1327,TOOLIK,JUNCASCAS,NA,HERB,GRAMINOID,RUSH,Juncus,castaneus,Juncus castaneus,NA,,NA
1328,TOOLIK,JUNCASLEU,NA,HERB,GRAMINOID,RUSH,Juncus,castaneus,Juncus castaneus,NA,,NA
1329,TOOLIK,JUNTRI,NA,HERB,GRAMINOID,RUSH,Juncus,triglumis,Juncus triglumis,NA,,NA
1330,TOOLIK,KOBMYO,NA,HERB,GRAMINOID,SEDGE,Kobresia,myosuroides,Kobresia myosuroides,NA,,NA
1331,TOOLIK,KOBSIB,NA,HERB,GRAMINOID,SEDGE,Kobresia,sibirica,Kobresia sibirica,NA,,NA
1332,TOOLIK,KOBSIM,NA,HERB,GRAMINOID,SEDGE,Kobresia,simpliciuscula,Kobresia simpliciuscula,NA,,NA
1333,TOOLIK,KOEASI,NA,HERB,GRAMINOID,GRASS,Koeleria,asiatica,Koeleria asiatica,NA,,NA
1334,TOOLIK,KOEISL,NA,HERB,FORBSV,FORB,Koenigia,islandica,Koenigia islandica,NA,,NA
1335,TOOLIK,LAGGLA,NA,HERB,FORBSV,FORB,Lagotis,glauca,Lagotis glauca,NA,,NA
1336,TOOLIK,LECASS,NA,,LICHEN,LCRUS,Lecidea,assimilata,Lecidea assimilata,NA,,NA
1337,TOOLIK,LECBEH,NA,,LICHEN,LCRUS,Lecanora,behringii,Lecanora behringii,NA,,NA
1338,TOOLIK,LECDEM,NA,,LICHEN,LCRUS,Lecidea,demissa,Lecidea demissa,NA,,NA
1339,TOOLIK,LECEPI,NA,,LICHEN,LCRUS,Lecanora,epibryon,Lecanora epibryon,NA,,NA
1340,TOOLIK,LECFLA,NA,,LICHEN,LCRUS,Lecidea,flavocaerulescens,Lecidea flavocaerulescens,NA,,NA
1341,TOOLIK,LECLUT,NA,,LICHEN,LCRUS,Lecanora,luteovernalis,Lecanora luteovernalis,NA,,NA
1342,TOOLIK,LECRAM,NA,,LICHEN,LCRUS,Lecidea,ramulosa,Lecidea ramulosa,NA,,NA
1343,TOOLIK,LECULI,NA,,LICHEN,LCRUS,Lecidea,uliginosa,Lecidea uliginosa,NA,,NA
1344,TOOLIK,LECVER,NA,,LICHEN,LCRUS,Lecidea,vernalis,Lecidea vernalis,NA,,NA
1345,TOOLIK,LEDDEC,NA,WOODY,ESHRUB,SEVER,Ledum,decumbens,Ledum decumbens,NA,,NA
1346,TOOLIK,LEDPAL,NA,WOODY,ESHRUB,SEVER,Ledum,palustre,Ledum palustre,NA,,NA
1347,TOOLIK,LEPLIC,NA,,LICHEN,LFOLI,Leptogium,lichenoides,Leptogium lichenoides,NA,,NA
1348,TOOLIK,LEPMEM,NA,,LICHEN,LCRUS,Lepraria,membranacea,Lepraria membranacea,NA,,NA
1349,TOOLIK,LEPPYR,NA,,MOSS,MACRO,Leptobryum,pyriforme,Leptobryum pyriforme,NA,,NA
1350,TOOLIK,LEPSIN,NA,,LICHEN,LFOLI,Leptogium,sinuatum,Leptogium sinuatum,NA,,NA
1351,TOOLIK,LESARC,NA,HERB,FORBSV,FORB,Lesquerella,arctica,Lesquerella arctica,NA,,NA
1352,TOOLIK,LLOSER,NA,HERB,FORBSV,FORB,Lloydia,serotina,Lloydia serotina,NA,,NA
1353,TOOLIK,LOBLIN,NA,,LICHEN,LFOLI,Lobaria,linita,Lobaria linita,NA,,NA
1354,TOOLIK,LOBPSE,NA,,LICHEN,LFOLI,Lobaria,pseudopulmonaria,Lobaria pseudopulmonaria,NA,,NA
1355,TOOLIK,LOIPRO,NA,WOODY,ESHRUB,SEVER,Loiseleuria,procumbens,Loiseleuria procumbens,NA,,NA
1356,TOOLIK,LOPFEC,NA,,LICHEN,LCRUS,Lopadium,fecundum,Lopadium fecundum,NA,,NA
1357,TOOLIK,LOPFRY,NA,,LIVER,LIVERLE,Lophochaete,fryei,Lophochaete fryei,NA,,NA
1358,TOOLIK,LOPGRA,NA,,LIVER,LIVERLE,Lophozia,grandiretis,Lophozia grandiretis,NA,,NA
1359,TOOLIK,LOPGUT,NA,,LIVER,LIVERLE,Lophozia,guttulata,Lophozia guttulata,NA,,NA
1360,TOOLIK,LOPHET,NA,,LIVER,LIVERLE,Lophozia,heterocolpa,Lophozia heterocolpa,NA,,NA
1361,TOOLIK,LOPQUA,NA,,LIVER,LIVERLE,Lophozia,quadriloba,Lophozia quadriloba,NA,,NA
1362,TOOLIK,LOPRUT,NA,,LIVER,LIVERLE,Lophozia,rutheana,Lophozia rutheana,NA,,NA
1363,TOOLIK,LOPVEN,NA,,LIVER,LIVERLE,Lophozia,ventricosa,Lophozia ventricosa,NA,,NA
1364,TOOLIK,LUPARC,NA,HERB,FORBSV,FORB,Lupinus,arcticus,Lupinus arcticus,NA,,NA
1365,TOOLIK,LUZARC,NA,HERB,GRAMINOID,RUSH,Luzula,arctica,Luzula arctica,NA,,NA
1366,TOOLIK,LUZARCUAT,NA,HERB,GRAMINOID,RUSH,Luzula,arcuata,Luzula arcuata,NA,,NA
1367,TOOLIK,LUZCON,NA,HERB,GRAMINOID,RUSH,Luzula,confusa,Luzula confusa,NA,,NA
1368,TOOLIK,LUZKJE,NA,HERB,GRAMINOID,RUSH,Luzula,kjellmaniana,Luzula kjellmaniana,NA,,NA
1369,TOOLIK,LUZMUL,NA,HERB,GRAMINOID,RUSH,Luzula,multiflora,Luzula multiflora,NA,,NA
1370,TOOLIK,LUZPAR,NA,HERB,GRAMINOID,RUSH,Luzula,parviflora,Luzula parviflora,NA,,NA
1371,TOOLIK,LUZTUN,NA,HERB,GRAMINOID,RUSH,Luzula,tundricola,Luzula tundricola,NA,,NA
1372,TOOLIK,LUZWAH,NA,HERB,GRAMINOID,RUSH,Luzula,wahlenbergii,Luzula wahlenbergii,NA,,NA
1373,TOOLIK,LYCANN,NA,HERB,FORBSV,SLVASC,Lycopodium,annotinum,Lycopodium annotinum,NA,,NA
1374,TOOLIK,LYCSEL,NA,HERB,FORBSV,SLVASC,Lycopodium,selago,Lycopodium selago,NA,,NA
1375,TOOLIK,MACPLI,NA,,LIVER,LIVERLE,Macrodiplophyllum,plicatum,Macrodiplophyllum plicatum,NA,,NA
1376,TOOLIK,MARALP,NA,,LIVER,LIVERTH,Marchantia,alpestris,Marchantia alpestris,NA,,NA
1377,TOOLIK,MARPOL,NA,,LIVER,LIVERTH,Marchantia,polymorpha,Marchantia polymorpha,NA,,NA
1378,TOOLIK,MASRIC,NA,,LICHEN,LFRUT,Masonhalea,richardsonii,Masonhalea richardsonii,NA,,NA
1379,TOOLIK,MEETRI,NA,,MOSS,MACRO,Meesia,triquetra,Meesia triquetra,NA,,NA
1380,TOOLIK,MEEULI,NA,,MOSS,MACRO,Meesia,uliginosa,Meesia uliginosa,NA,,NA
1381,TOOLIK,MELAFF,NA,HERB,FORBSV,FORB,Melandrium,affine,Melandrium affine,NA,,NA
1382,TOOLIK,MELAPE,NA,HERB,FORBSV,FORB,Melandrium,apetalum,Melandrium apetalum,NA,,NA
1383,TOOLIK,MERMAR,NA,HERB,FORBSV,FORB,Mertensia,maritima,Mertensia maritima,NA,,NA
1384,TOOLIK,MESSAH,NA,,LIVER,LIVERLE,Mesoptychia,sahlbergii,Mesoptychia sahlbergii,NA,,NA
1385,TOOLIK,MINARC,NA,HERB,FORBSV,FORB,Minuartia,arctica,Minuartia arctica,NA,,NA
1386,TOOLIK,MINELE,NA,HERB,FORBSV,FORB,Minuartia,elegans,Minuartia elegans,NA,,NA
1387,TOOLIK,MINOBT,NA,HERB,FORBSV,FORB,Minuartia,obtusiloba,Minuartia obtusiloba,NA,,NA
1388,TOOLIK,MINROS,NA,HERB,FORBSV,FORB,Minuartia,rossii,Minuartia rossii,NA,,NA
1389,TOOLIK,MINRUB,NA,HERB,FORBSV,FORB,Minuartia,rubella,Minuartia rubella,NA,,NA
1390,TOOLIK,MNIAND,NA,,MOSS,MACRO,Mnium,andrewsianum,Mnium andrewsianum,NA,,NA
1391,TOOLIK,MNIBLY,NA,,MOSS,MACRO,Mnium,blyttii,Mnium blyttii,NA,,NA
1392,TOOLIK,MNIRUG,NA,,MOSS,MACRO,Mnium,rugicum,Mnium rugicum,NA,,NA
1393,TOOLIK,MNISPI,NA,,MOSS,MACRO,Mnium,spinosum,Mnium spinosum,NA,,NA
1394,TOOLIK,MNITHO,NA,,MOSS,MACRO,Mnium,thomsonii,Mnium thomsonii,NA,,NA
1395,TOOLIK,MYCSAN,NA,,LICHEN,LCRUS,Mycoblastis,sanguinarius,Mycoblastis sanguinarius,NA,,NA
1396,TOOLIK,MYLANO,NA,,LIVER,LIVERLE,Mylia,anomala,Mylia anomala,NA,,NA
1397,TOOLIK,MYOALP,NA,HERB,FORBSV,FORB,Myosotis,alpestris,Myosotis alpestris,NA,,NA
1398,TOOLIK,MYUJUL,NA,,MOSS,MPLEU,Myurella,julacea,Myurella julacea,NA,,NA
1399,TOOLIK,NEPARC,NA,,LICHEN,LFOLI,Nephroma,arcticum,Nephroma arcticum,NA,,NA
1400,TOOLIK,NOSCOM,NA,,ALGAE,ALGAE,Nostoc,commune,Nostoc commune,NA,,NA
1401,TOOLIK,NOVGLA,NA,HERB,FORBSV,FORB,Novosieversia,glacialis,Novosieversia glacialis,NA,,NA
1402,TOOLIK,OCHFRI,NA,,LICHEN,LCRUS,Ochrolechia,frigida,Ochrolechia frigida,NA,,NA
1403,TOOLIK,OCHFRITHE,NA,,LICHEN,LCRUS,Ochrolechia,frigida,Ochrolechia frigida,NA,,NA
1404,TOOLIK,OCHUPS,NA,,LICHEN,LCRUS,Ochrolechia,upsaliensis,Ochrolechia upsaliensis,NA,,NA
1405,TOOLIK,ONCVIR,NA,,MOSS,MACRO,Oncophorus,virens,Oncophorus virens,NA,,NA
1406,TOOLIK,ONCWAH,NA,,MOSS,MACRO,Oncophorus,wahlenbergii,Oncophorus wahlenbergii,NA,,NA
1407,TOOLIK,ONDMAC,NA,,MOSS,MACRO,Ondontoschisma,macounii,Ondontoschisma macounii,NA,,NA
1408,TOOLIK,ORTCHR,NA,,MOSS,MPLEU,Orthotheceum,chryseum,Orthotheceum chryseum,NA,,NA
1409,TOOLIK,ORTSEC,NA,HERB,FORBSV,FORB,Orthilia,secunda,Orthilia secunda,NA,,NA
1410,TOOLIK,OXYARC,NA,HERB,FORBSV,FORB,Oxytropis,arctica,Oxytropis arctica,NA,,NA
1411,TOOLIK,OXYBOR,NA,HERB,FORBSV,FORB,Oxytropis,borealis,Oxytropis borealis,NA,,NA
1412,TOOLIK,OXYCAM,NA,HERB,FORBSV,FORB,Oxytropis,campestris,Oxytropis campestris,NA,,NA
1413,TOOLIK,OXYCAMGRA,NA,HERB,FORBSV,FORB,Oxytropis,campestris,Oxytropis campestris,NA,,NA
1414,TOOLIK,OXYCAMJOR,NA,HERB,FORBSV,FORB,Oxytropis,campestris,Oxytropis campestris,NA,,NA
1415,TOOLIK,OXYCAMVAR,NA,HERB,FORBSV,FORB,Oxytropis,campestris,Oxytropis campestris,NA,,NA
1416,TOOLIK,OXYDEF,NA,HERB,FORBSV,FORB,Oxytropis,deflexa,Oxytropis deflexa,NA,,NA
1417,TOOLIK,OXYDIG,NA,HERB,FORBSV,FORB,Oxyria,digyna,Oxyria digyna,NA,,NA
1418,TOOLIK,OXYJOR,NA,HERB,FORBSV,FORB,Oxytropis,jordalii,Oxytropis jordalii,NA,,NA
1419,TOOLIK,OXYKOY,NA,HERB,FORBSV,FORB,Oxytropis,koyukukensis,Oxytropis koyukukensis,NA,,NA
1420,TOOLIK,OXYMAY,NA,HERB,FORBSV,FORB,Oxytropis,maydelliana,Oxytropis maydelliana,NA,,NA
1421,TOOLIK,OXYMIC,NA,WOODY,ESHRUB,SEVER,Oxycoccus,microcarpus,Oxycoccus microcarpus,NA,,NA
1422,TOOLIK,OXYNIG,NA,HERB,FORBSV,FORB,Oxytropis,nigrescens,Oxytropis nigrescens,NA,,NA
1423,TOOLIK,OXYNIGBRY,NA,HERB,FORBSV,FORB,Oxytropis,nigrescens,Oxytropis nigrescens,NA,,NA
1424,TOOLIK,OXYNIGPYG,NA,HERB,FORBSV,FORB,Oxytropis,nigrescens,Oxytropis nigrescens,NA,,NA
1425,TOOLIK,PACCYM,NA,,FORBSV,FORB,Packera,cymbalaria,Packera cymbalaria,NA,,NA
1426,TOOLIK,PALSQU,NA,,MOSS,MACRO,Paludella,squarrosa,Paludella squarrosa,NA,,NA
1427,TOOLIK,PANPEZ,NA,,LICHEN,LCRUS,Pannaria,pezizoides,Pannaria pezizoides,NA,,NA
1428,TOOLIK,PAPHUL,NA,HERB,FORBSV,FORB,Papaver,hultenii,Papaver hultenii,NA,,NA
1429,TOOLIK,PAPLAP,NA,HERB,FORBSV,FORB,Papaver,lapponicum,Papaver lapponicum,NA,,NA
1430,TOOLIK,PAPLAPOCC,NA,HERB,FORBSV,FORB,Papaver,lapponicum,Papaver lapponicum,NA,,NA
1431,TOOLIK,PAPLAPPOR,NA,HERB,FORBSV,FORB,Papaver,lapponicum,Papaver lapponicum,NA,,NA
1432,TOOLIK,PAPMAC,NA,HERB,FORBSV,FORB,Papaver,macounii,Papaver macounii,NA,,NA
1433,TOOLIK,PARKOT,NA,HERB,FORBSV,FORB,Parnassia,kotzebuei,Parnassia kotzebuei,NA,,NA
1434,TOOLIK,PARNUD,NA,HERB,FORBSV,FORB,Parrya,nudicaulis,Parrya nudicaulis,NA,,NA
1435,TOOLIK,PARNUDNUD,NA,HERB,FORBSV,FORB,Parrya,nudicaulis,Parrya nudicaulis,NA,,NA
1436,TOOLIK,PARNUDSEP,NA,HERB,FORBSV,FORB,Parrya,nudicaulis,Parrya nudicaulis,NA,,NA
1437,TOOLIK,PAROLI,NA,,LICHEN,LFOLI,Parmelia,olivaeceoides,Parmelia olivaeceoides,NA,,NA
1438,TOOLIK,PAROMP,NA,,LICHEN,LFOLI,Parmelia,omphalodes,Parmelia omphalodes,NA,,NA
1439,TOOLIK,PARPAL,NA,HERB,FORBSV,FORB,Parnassia,palustris,Parnassia palustris,NA,,NA
1440,TOOLIK,PARSEP,NA,,LICHEN,LFOLI,Parmelia,septentrionalis,Parmelia septentrionalis,NA,,NA
1441,TOOLIK,PARSTY,NA,,LICHEN,LFOLI,Parmelia,stygia,Parmelia stygia,NA,,NA
1442,TOOLIK,PARSUL,NA,,LICHEN,LFOLI,Parmelia,sulcata,Parmelia sulcata,NA,,NA
1443,TOOLIK,PEDALB,NA,HERB,FORBSV,FORB,Pedicularis,albolabiata,Pedicularis albolabiata,NA,,NA
1444,TOOLIK,PEDCAP,NA,HERB,FORBSV,FORB,Pedicularis,capitata,Pedicularis capitata,NA,,NA
1445,TOOLIK,PEDHIR,NA,HERB,FORBSV,FORB,Pedicularis,hirsuta,Pedicularis hirsuta,NA,,NA
1446,TOOLIK,PEDKAN,NA,HERB,FORBSV,FORB,Pedicularis,kanei,Pedicularis kanei,NA,,NA
1447,TOOLIK,PEDLAB,NA,HERB,FORBSV,FORB,Pedicularis,labradorica,Pedicularis labradorica,NA,,NA
1448,TOOLIK,PEDLAN,NA,HERB,FORBSV,FORB,Pedicularis,lanata,Pedicularis lanata,NA,,NA
1449,TOOLIK,PEDLANATA,NA,HERB,FORBSV,FORB,Pedicularis,lanata,Pedicularis lanata,NA,,NA
1450,TOOLIK,PEDLAP,NA,HERB,FORBSV,FORB,Pedicularis,lapponica,Pedicularis lapponica,NA,,NA
1451,TOOLIK,PEDOED,NA,HERB,FORBSV,FORB,Pedicularis,oederi,Pedicularis oederi,NA,,NA
1452,TOOLIK,PEDSUD,NA,HERB,FORBSV,FORB,Pedicularis,sudetica,Pedicularis sudetica,NA,,NA
1453,TOOLIK,PEDSUDALB,NA,HERB,FORBSV,FORB,Pedicularis,sudetica,Pedicularis sudetica,NA,,NA
1454,TOOLIK,PEDSUDINT,NA,HERB,FORBSV,FORB,Pedicularis,sudetica,Pedicularis sudetica,NA,,NA
1455,TOOLIK,PEDSUDOID,NA,HERB,FORBSV,FORB,Pedicularis,sudetica,Pedicularis sudetica,NA,,NA
1456,TOOLIK,PEDVER,NA,HERB,FORBSV,FORB,Pedicularis,verticillata,Pedicularis verticillata,NA,,NA
1457,TOOLIK,PELAPH,NA,,LICHEN,LFOLI,Peltigera,aphthosa,Peltigera aphthosa,NA,,NA
1458,TOOLIK,PELCAN,NA,,LICHEN,LFOLI,Peltigera,canina,Peltigera canina,NA,,NA
1459,TOOLIK,PELCANRUF,NA,,LICHEN,LFOLI,Peltigera,canina,Peltigera canina,NA,,NA
1460,TOOLIK,PELCANSOR,NA,,LICHEN,LFOLI,Peltigera,canina,Peltigera canina,NA,,NA
1461,TOOLIK,PELHOR,NA,,LICHEN,LFOLI,Peltigera,horizontalis,Peltigera horizontalis,NA,,NA
1462,TOOLIK,PELLEP,NA,,LICHEN,LFOLI,Peltigera,lepidophora,Peltigera lepidophora,NA,,NA
1463,TOOLIK,PELLEU,NA,,LICHEN,LFOLI,Peltigera,leucophlebia,Peltigera leucophlebia,NA,,NA
1464,TOOLIK,PELMAL,NA,,LICHEN,LFOLI,Peltigera,malacea,Peltigera malacea,NA,,NA
1465,TOOLIK,PELMEM,NA,,LICHEN,LFOLI,Peltigera,membranacea,Peltigera membranacea,NA,,NA
1466,TOOLIK,PELPOL,NA,,LICHEN,LFOLI,Peltigera,polydactylon,Peltigera polydactylon,NA,,NA
1467,TOOLIK,PELSCA,NA,,LICHEN,LFOLI,Peltigera,scabrosa,Peltigera scabrosa,NA,,NA
1468,TOOLIK,PELSPU,NA,,LICHEN,LFOLI,Peltigera,spuria,Peltigera spuria,NA,,NA
1469,TOOLIK,PELVEN,NA,,LICHEN,LFOLI,Peltigera,venosa,Peltigera venosa,NA,,NA
1470,TOOLIK,PERBRY,NA,,LICHEN,LCRUS,Pertusaria,bryontha,Pertusaria bryontha,NA,,NA
1471,TOOLIK,PERCOR,NA,,LICHEN,LCRUS,Pertusaria,coriacea,Pertusaria coriacea,NA,,NA
1472,TOOLIK,PERCOROBD,NA,,LICHEN,LCRUS,Pertusaria,coriacea,Pertusaria coriacea,NA,,NA
1473,TOOLIK,PERDAC,NA,,LICHEN,LCRUS,Pertusaria,dactylina,Pertusaria dactylina,NA,,NA
1474,TOOLIK,PERGLO,NA,,LICHEN,LCRUS,Pertusaria,glomerata,Pertusaria glomerata,NA,,NA
1475,TOOLIK,PERPAN,NA,,LICHEN,LCRUS,Pertusaria,panyrga,Pertusaria panyrga,NA,,NA
1476,TOOLIK,PERSUB,NA,,LICHEN,LCRUS,Pertusaria,subobducens,Pertusaria subobducens,NA,,NA
1477,TOOLIK,PETFRI,NA,HERB,FORBSV,FORB,Petasites,frigidus,Petasites frigidus,NA,,NA
1478,TOOLIK,PHACON,NA,,LICHEN,LFOLI,Phaeophyscia,constipata,Phaeophyscia constipata,NA,,NA
1479,TOOLIK,PHIALG,NA,HERB,GRAMINOID,GRASS,Phippsia,algida,Phippsia algida,NA,,NA
1480,TOOLIK,PHIFON,NA,,MOSS,MACRO,Philonotis,fontana,Philonotis fontana,NA,,NA
1481,TOOLIK,PHLSIB,NA,HERB,FORBSV,FORB,Phlox,sibirica,Phlox sibirica,NA,,NA
1482,TOOLIK,PHYAIP,NA,,LICHEN,LFOLI,Physcia,aipolia,Physcia aipolia,NA,,NA
1483,TOOLIK,PHYCAE,NA,,LICHEN,LFOLI,Physcia,caesia,Physcia caesia,NA,,NA
1484,TOOLIK,PHYDUB,NA,,LICHEN,LFOLI,Physcia,dubia,Physcia dubia,NA,,NA
1485,TOOLIK,PHYMUS,NA,,LICHEN,LFOLI,Physconia,muscigena,Physconia muscigena,NA,,NA
1486,TOOLIK,PINVUL,NA,,FORBSV,FORB,Pinguicula,vulgaris,Pinguicula vulgaris,NA,,NA
1487,TOOLIK,PLAARC,NA,,LIVER,LIVERLE,Plagiochila,arctica,Plagiochila arctica,NA,,NA
1488,TOOLIK,PLAELL,NA,,MOSS,MACRO,Plagiomnium,ellipticum,Plagiomnium ellipticum,NA,,NA
1489,TOOLIK,PLAMED,NA,,MOSS,MACRO,Plagiomnium,medium,Plagiomnium medium,NA,,NA
1490,TOOLIK,PLAOED,NA,,MOSS,MACRO,Plagiopus,oederiana,Plagiopus oederiana,NA,,NA
1491,TOOLIK,PLARUG,NA,,MOSS,MACRO,Plagiomnium,rugicum,Plagiomnium rugicum,NA,,NA
1492,TOOLIK,PLESAB,NA,HERB,GRAMINOID,GRASS,Pleuropogon,sabinei,Pleuropogon sabinei,NA,,NA
1493,TOOLIK,PLESCH,NA,,MOSS,MPLEU,Pleurozium,schreberi,Pleurozium schreberi,NA,,NA
1494,TOOLIK,POAALPIGE,NA,HERB,GRAMINOID,GRASS,Poa,alpigena,Poa alpigena,NA,,NA
1495,TOOLIK,POAALPINA,NA,HERB,GRAMINOID,GRASS,Poa,alpina,Poa alpina,NA,,NA
1496,TOOLIK,POAARC,NA,HERB,GRAMINOID,GRASS,Poa,arctica,Poa arctica,NA,,NA
1497,TOOLIK,POAARCARC,NA,HERB,GRAMINOID,GRASS,Poa,arctica,Poa arctica,NA,,NA
1498,TOOLIK,POAGLA,NA,HERB,GRAMINOID,GRASS,Poa,glauca,Poa glauca,NA,,NA
1499,TOOLIK,POALAN,NA,HERB,GRAMINOID,GRASS,Poa,lanata,Poa lanata,NA,,NA
1500,TOOLIK,POAMAL,NA,HERB,GRAMINOID,GRASS,Poa,malacantha,Poa malacantha,NA,,NA
1501,TOOLIK,POAPAU,NA,HERB,GRAMINOID,GRASS,Poa,paucispicula,Poa paucispicula,NA,,NA
1502,TOOLIK,POAPRA,NA,HERB,GRAMINOID,GRASS,Poa,pratensis,Poa pratensis,NA,,NA
1503,TOOLIK,POAPSE,NA,HERB,GRAMINOID,GRASS,Poa,pseudoabbreviata,Poa pseudoabbreviata,NA,,NA
1504,TOOLIK,POGALP,NA,,MOSS,MACRO,Pogonatum,alpinum,Pogonatum alpinum,NA,,NA
1505,TOOLIK,POGURN,NA,,MOSS,MACRO,Pogonatum,urnigerum,Pogonatum urnigerum,NA,,NA
1506,TOOLIK,POHAND,NA,,MOSS,MACRO,Pohlia,andrewsii,Pohlia andrewsii,NA,,NA
1507,TOOLIK,POHCRU,NA,,MOSS,MACRO,Pohlia,cruda,Pohlia cruda,NA,,NA
1508,TOOLIK,POHCRUDOI,NA,,MOSS,MACRO,Pohlia,crudoides,Pohlia crudoides,NA,,NA
1509,TOOLIK,POHELO,NA,,MOSS,MACRO,Pohlia,elongata,Pohlia elongata,NA,,NA
1510,TOOLIK,POHNUT,NA,,MOSS,MACRO,Pohlia,nutans,Pohlia nutans,NA,,NA
1511,TOOLIK,POLACU,NA,HERB,FORBSV,FORB,Polemonium,acutiflorum,Polemonium acutiflorum,NA,,NA
1512,TOOLIK,POLALP,NA,,MOSS,MACRO,Polytrichastrum,alpinum,Polytrichastrum alpinum,NA,,NA
1513,TOOLIK,POLBIS,NA,HERB,FORBSV,FORB,Polygonum,bistorta,Polygonum bistorta,NA,,NA
1514,TOOLIK,POLBOR,NA,HERB,FORBSV,FORB,Polemonium,boreale,Polemonium boreale,NA,,NA
1515,TOOLIK,POLCOM,NA,,MOSS,MACRO,Polytrichum,commune,Polytrichum commune,NA,,NA
1516,TOOLIK,POLGEL,NA,,LICHEN,LCRUS,Polyblastia,gelatinosa,Polyblastia gelatinosa,NA,,NA
1517,TOOLIK,POLHYP,NA,,MOSS,MACRO,Polytrichum,hyperboreum,Polytrichum hyperboreum,NA,,NA
1518,TOOLIK,POLJUN,NA,,MOSS,MACRO,Polytrichum,juniperinum,Polytrichum juniperinum,NA,,NA
1519,TOOLIK,POLLON,NA,,MOSS,MACRO,Polytrichum,longisetum,Polytrichum longisetum,NA,,NA
1520,TOOLIK,POLPIL,NA,,MOSS,MACRO,Polytrichum,piliferum,Polytrichum piliferum,NA,,NA
1521,TOOLIK,POLSEN,NA,,LICHEN,LCRUS,Polyblastia,sendtneri,Polyblastia sendtneri,NA,,NA
1522,TOOLIK,POLSEX,NA,,MOSS,MACRO,Polytrichum,sexangulare,Polytrichum sexangulare,NA,,NA
1523,TOOLIK,POLSTR,NA,,MOSS,MACRO,Polytrichum,strictum,Polytrichum strictum,NA,,NA
1524,TOOLIK,POLSWA,NA,,MOSS,MACRO,Polytrichum,swartzii,Polytrichum swartzii,NA,,NA
1525,TOOLIK,POLVIV,NA,HERB,FORBSV,FORB,Polygonum,viviparum,Polygonum viviparum,NA,,NA
1526,TOOLIK,POPBAL,NA,WOODY,DSHRUB,SDECI,Populus,balsamifera,Populus balsamifera,NA,,NA
1527,TOOLIK,POTBIF,NA,HERB,FORBSV,FORB,Potentilla,biflora,Potentilla biflora,NA,,NA
1528,TOOLIK,POTELE,NA,HERB,FORBSV,FORB,Potentilla,elegans,Potentilla elegans,NA,,NA
1529,TOOLIK,POTFRU,NA,WOODY,DSHRUB,SDECI,Potentilla,fruticosa,Potentilla fruticosa,NA,,NA
1530,TOOLIK,POTHOO,NA,HERB,FORBSV,FORB,Potentilla,hookeriana,Potentilla hookeriana,NA,,NA
1531,TOOLIK,POTHYP,NA,HERB,FORBSV,FORB,Potentilla,hyparctica,Potentilla hyparctica,NA,,NA
1532,TOOLIK,POTNIV,NA,HERB,FORBSV,FORB,Potentilla,nivea,Potentilla nivea,NA,,NA
1533,TOOLIK,POTNIVTOM,NA,HERB,FORBSV,FORB,Potentilla,nivea,Potentilla nivea,NA,,NA
1534,TOOLIK,POTPAL,NA,WOODY,DSHRUB,SDECI,Potentilla,palustris,Potentilla palustris,NA,,NA
1535,TOOLIK,POTPUL,NA,HERB,FORBSV,FORB,Potentilla,pulchella,Potentilla pulchella,NA,,NA
1536,TOOLIK,POTUNI,NA,HERB,FORBSV,FORB,Potentilla,uniflora,Potentilla uniflora,NA,,NA
